datetime,co,no2,o3,so2,pm25,pm10
2020-11-25,2971.5660869565218,93.54913043478261,26.791304347826088,81.08043478260869,342.3017391304348,405.03782608695656
2020-11-26,2314.806666666667,65.41875,20.753333333333334,65.15833333333333,180.7541666666667,226.00125
2020-11-27,1592.1595833333333,56.221666666666664,43.925000000000004,41.485,115.90166666666666,143.95250000000001
2020-11-28,2411.8679166666666,70.04666666666667,50.3725,41.51541666666667,197.88916666666668,234.86125
2020-11-29,3546.9841666666666,93.94958333333334,34.69625,77.78541666666668,329.38166666666666,404.0495833333334
2020-11-30,4253.762916666667,105.43124999999999,34.78333333333333,71.42666666666666,406.11291666666665,511.88625
2020-12-01,4385.597916666667,115.98416666666667,41.01,73.02583333333334,482.88166666666666,613.2687500000001
2020-12-02,3038.2833333333333,78.55624999999999,56.57541666666666,50.2475,322.97833333333335,368.53416666666664
2020-12-03,4152.514166666667,127.06625000000001,27.1525,109.80791666666666,490.01666666666665,655.8295833333333
2020-12-04,3635.1558333333337,110.65458333333333,71.09333333333333,83.20958333333333,494.2058333333334,596.4091666666667
2020-12-05,2272.5258333333336,68.75958333333334,76.62041666666667,50.665,358.0779166666666,392.4216666666667
2020-12-06,3106.699583333333,91.08041666666666,46.68,58.373333333333335,447.5420833333333,501.84999999999997
2020-12-07,3777.0241666666666,93.30624999999999,35.44541666666667,60.66708333333333,480.14166666666665,587.7333333333333
2020-12-08,4570.00125,145.20166666666668,29.20958333333333,124.96125,555.0654166666667,779.5416666666666
2020-12-09,4440.66375,132.63666666666668,31.59166666666667,124.15625,527.47375,725.34375
2020-12-10,3952.2616666666668,86.31083333333333,13.356666666666667,84.37208333333334,362.6166666666666,471.9058333333333
2020-12-11,3256.6012499999997,84.59625,9.288333333333334,83.38416666666667,277.78249999999997,336.34791666666666
2020-12-12,3096.94,80.53958333333334,10.455416666666666,89.10625,302.02875,391.0958333333333
2020-12-13,1484.5133333333333,45.5975,48.030833333333334,34.66041666666667,124.09708333333333,147.04541666666668
2020-12-14,3298.3245833333335,76.65625,30.214166666666667,61.71083333333333,294.7445833333333,383.7054166666667
2020-12-15,3075.82,77.97041666666667,33.020833333333336,64.07541666666667,252.20250000000001,316.36041666666665
2020-12-16,1800.2195833333333,57.23500000000001,48.665,46.223749999999995,145.77291666666667,177.9425
2020-12-17,1418.0349999999999,47.30291666666667,67.02624999999999,40.12291666666667,117.86958333333332,140.41958333333335
2020-12-18,1609.9616666666668,56.15,48.39291666666667,42.25958333333333,124.53291666666667,149.93916666666667
2020-12-19,1401.3458333333335,44.397083333333335,60.126666666666665,34.26291666666666,125.01875,146.34416666666667
2020-12-20,1641.6716666666669,50.365833333333335,54.08583333333333,33.35875,158.91416666666666,183.1833333333333
2020-12-21,3797.315,85.51041666666667,22.609583333333333,83.33749999999999,414.2104166666666,534.9616666666667
2020-12-22,4566.9366666666665,109.64458333333334,25.541666666666668,88.27541666666667,529.89,715.0483333333333
2020-12-23,4625.6325,121.58333333333333,26.729583333333334,91.65249999999999,557.1783333333334,763.6462499999999
2020-12-24,3856.01125,86.6675,32.187916666666666,59.09916666666667,375.41333333333336,464.8929166666667
2020-12-25,3671.06125,79.19916666666667,31.322916666666668,50.32666666666666,336.68625000000003,399.14375
2020-12-26,3790.9225,81.34041666666667,27.622083333333332,53.177083333333336,409.53458333333333,506.7004166666666
2020-12-27,2785.976666666667,64.51958333333333,46.8975,42.120416666666664,330.1925,377.25541666666663
2020-12-28,2743.9816666666666,69.545,26.182083333333335,61.53125,263.7316666666666,318.37
2020-12-29,1740.6937500000001,55.82875000000001,44.80416666666667,40.95791666666667,145.54791666666668,182.26208333333332
2020-12-30,2927.294583333334,75.82875,32.04291666666666,47.742916666666666,251.08124999999998,305.93541666666664
2020-12-31,3805.9525,92.39375,28.010833333333334,74.80416666666666,392.18875,497.87208333333336
2021-01-01,4006.4883333333332,132.5075,11.186250000000001,113.44166666666666,473.3020833333333,613.5508333333333
2021-01-02,2040.5454166666666,65.97583333333334,33.81458333333333,43.98916666666667,297.72583333333336,324.19125
2021-01-03,962.6954166666666,34.43625,48.221666666666664,29.632499999999997,106.12416666666667,117.12291666666665
2021-01-04,2694.19,60.805416666666666,9.065,53.25666666666667,177.60666666666665,220.55166666666665
2021-01-05,1831.3729166666665,55.222500000000004,13.460833333333333,56.24875,145.68833333333333,167.63583333333335
2021-01-06,3042.9775000000004,75.51416666666667,8.850416666666666,89.50041666666668,328.84208333333333,426.8808333333333
2021-01-07,2937.2879166666667,54.665416666666665,8.645,52.75,263.3875,318.005
2021-01-08,3799.8320833333332,73.58708333333333,14.104999999999999,78.48041666666667,361.8745833333333,430.6075
2021-01-09,1282.0166666666667,37.73583333333333,53.85333333333333,33.904583333333335,132.14624999999998,151.32208333333332
2021-01-10,1349.0516666666667,36.307916666666664,71.58541666666666,32.0475,143.08833333333334,161.43291666666667
2021-01-11,1404.6833333333334,42.969166666666666,62.31041666666667,35.23625,130.445,152.07833333333335
2021-01-12,1772.9608333333333,53.171666666666674,49.245416666666664,37.94041666666667,176.6783333333333,205.63166666666666
2021-01-13,3269.9520833333336,68.04666666666667,35.961666666666666,46.41291666666667,338.29041666666666,404.13166666666666
2021-01-14,4566.0975,129.18,14.145416666666668,119.53958333333333,548.23375,769.0516666666667
