datetime,co,no2,o3,so2,pm25,pm10,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag4,pm25_lag5,pm25_lag6,pm25_lag7,pm25_7d_avg,pm25_7d_std,pm10_lag1,pm10_lag2,pm10_lag3,pm10_lag4,pm10_lag5,pm10_lag6,pm10_lag7,pm10_7d_avg,pm10_7d_std,no2_lag1,no2_lag2,no2_lag3,no2_lag4,no2_lag5,no2_lag6,no2_lag7,no2_7d_avg,no2_7d_std,so2_lag1,so2_lag2,so2_lag3,so2_lag4,so2_lag5,so2_lag6,so2_lag7,so2_7d_avg,so2_7d_std,co_lag1,co_lag2,co_lag3,co_lag4,co_lag5,co_lag6,co_lag7,co_7d_avg,co_7d_std,o3_lag1,o3_lag2,o3_lag3,o3_lag4,o3_lag5,o3_lag6,o3_lag7,o3_7d_avg,o3_7d_std
2020-12-02,3056.9245833333334,78.55624999999999,56.57541666666666,50.2475,322.97833333333335,368.53416666666664,526.0591666666667,416.22499999999997,329.38166666666666,197.88916666666668,115.90166666666666,180.7541666666667,342.3017391304348,298.4555952380952,144.06247179779132,624.7825,511.88625,404.0495833333334,234.86125,143.95250000000001,226.00125,405.03782608695656,359.15250000000003,171.0162123179516,115.98416666666667,105.43124999999999,93.94958333333334,70.04666666666667,56.221666666666664,65.41875,93.54913043478261,83.65833333333333,22.06690972612865,73.02583333333334,71.42666666666666,77.78541666666668,41.51541666666667,41.485,65.15833333333333,82.43086956521739,60.092023809523816,15.398633692149014,5889.097083333334,5575.339166666668,4516.680416666667,2461.1158333333333,1592.1595833333333,2314.806666666667,2971.5660869565218,3629.446190476191,1695.6462296016678,41.01,34.78333333333333,34.69625,50.3725,43.925000000000004,20.753333333333334,26.791304347826088,40.302261904761906,11.718197643419881
2020-12-03,6677.94625,127.06625000000001,27.1525,112.22625,642.61125,757.0179166666667,322.97833333333335,526.0591666666667,416.22499999999997,329.38166666666666,197.88916666666668,115.90166666666666,180.7541666666667,364.43517857142854,181.95252365287257,368.53416666666664,624.7825,511.88625,404.0495833333334,234.86125,143.95250000000001,226.00125,435.01202380952384,214.38448023274913,78.55624999999999,115.98416666666667,105.43124999999999,93.94958333333334,70.04666666666667,56.221666666666664,65.41875,92.46511904761904,25.59407332441083,50.2475,73.02583333333334,71.42666666666666,77.78541666666668,41.51541666666667,41.485,65.15833333333333,66.81601190476191,25.161258098063797,3056.9245833333334,5889.097083333334,5575.339166666668,4516.680416666667,2461.1158333333333,1592.1595833333333,2314.806666666667,4252.7518452380955,1919.0623915652786,56.57541666666666,41.01,34.78333333333333,34.69625,50.3725,43.925000000000004,20.753333333333334,41.21642857142857,10.073088413039864
2020-12-04,4385.3925,110.72125,71.09333333333333,83.20958333333333,537.8774999999999,601.24375,642.61125,322.97833333333335,526.0591666666667,416.22499999999997,329.38166666666666,197.88916666666668,115.90166666666666,424.71744047619046,153.57734197152485,757.0179166666667,368.53416666666664,624.7825,511.88625,404.0495833333334,234.86125,143.95250000000001,500.33934523809523,177.3922020574803,127.06625000000001,78.55624999999999,115.98416666666667,105.43124999999999,93.94958333333334,70.04666666666667,56.221666666666664,100.2507738095238,20.51715977895509,112.22625,50.2475,73.02583333333334,71.42666666666666,77.78541666666668,41.51541666666667,41.485,72.77666666666667,23.010565103137754,6677.94625,3056.9245833333334,5889.097083333334,5575.339166666668,4516.680416666667,2461.1158333333333,1592.1595833333333,4651.785119047619,1523.2121903103116,27.1525,56.57541666666666,41.01,34.78333333333333,34.69625,50.3725,43.925000000000004,45.09761904761904,15.213208424712498
2020-12-05,2272.5258333333336,68.75958333333334,76.62041666666667,50.665,358.0779166666666,392.4216666666667,537.8774999999999,642.61125,322.97833333333335,526.0591666666667,416.22499999999997,329.38166666666666,197.88916666666668,447.6015476190476,123.04469622749801,601.24375,757.0179166666667,368.53416666666664,624.7825,511.88625,404.0495833333334,234.86125,522.8479761904762,145.16031202912473,110.72125,127.06625000000001,78.55624999999999,115.98416666666667,105.43124999999999,93.94958333333334,70.04666666666667,100.06690476190475,20.836240091464216,83.20958333333333,112.22625,50.2475,73.02583333333334,71.42666666666666,77.78541666666668,41.51541666666667,74.08375,21.12114825448567,4385.3925,6677.94625,3056.9245833333334,5889.097083333334,5575.339166666668,4516.680416666667,2461.1158333333333,4624.84369047619,1569.384922272154,71.09333333333333,27.1525,56.57541666666666,41.01,34.78333333333333,34.69625,50.3725,48.847321428571426,19.391109597321755
2020-12-06,3164.8483333333334,91.08041666666666,46.68,58.373333333333335,447.5420833333333,501.84999999999997,358.0779166666666,537.8774999999999,642.61125,322.97833333333335,526.0591666666667,416.22499999999997,329.38166666666666,464.4816071428571,111.70608162735086,392.4216666666667,601.24375,757.0179166666667,368.53416666666664,624.7825,511.88625,404.0495833333334,536.8194642857143,136.25376853005156,68.75958333333334,110.72125,127.06625000000001,78.55624999999999,115.98416666666667,105.43124999999999,93.94958333333334,99.6570238095238,21.004177112161795,50.665,83.20958333333333,112.22625,50.2475,73.02583333333334,71.42666666666666,77.78541666666668,71.31059523809525,21.817040610199708,2272.5258333333336,4385.3925,6677.94625,3056.9245833333334,5889.097083333334,5575.339166666668,4516.680416666667,4431.724821428572,1665.1645099675552,76.62041666666667,71.09333333333333,27.1525,56.57541666666666,41.01,34.78333333333333,34.69625,50.559285714285714,18.43917702466386
2020-12-07,4750.331666666666,93.30624999999999,35.44541666666667,60.66708333333333,509.4604166666666,590.4470833333334,447.5420833333333,358.0779166666666,537.8774999999999,642.61125,322.97833333333335,526.0591666666667,416.22499999999997,477.80095238095237,110.54565459985022,501.84999999999997,392.4216666666667,601.24375,757.0179166666667,368.53416666666664,624.7825,511.88625,548.0424404761904,137.09066745524075,91.08041666666666,68.75958333333334,110.72125,127.06625000000001,78.55624999999999,115.98416666666667,105.43124999999999,97.92488095238095,20.94851285371058,58.373333333333335,50.665,83.20958333333333,112.22625,50.2475,73.02583333333334,71.42666666666666,69.7735119047619,22.183447518354832,3164.8483333333334,2272.5258333333336,4385.3925,6677.94625,3056.9245833333334,5889.097083333334,5575.339166666668,4313.866607142857,1598.5962442097348,46.68,76.62041666666667,71.09333333333333,27.1525,56.57541666666666,41.01,34.78333333333333,50.65386904761905,18.346231393646118
2020-12-08,8663.9725,145.20166666666668,29.20958333333333,146.33916666666667,766.2054166666667,903.9929166666667,509.4604166666666,447.5420833333333,358.0779166666666,537.8774999999999,642.61125,322.97833333333335,526.0591666666667,512.1075595238095,155.95497599401347,590.4470833333334,501.84999999999997,392.4216666666667,601.24375,757.0179166666667,368.53416666666664,624.7825,587.9296428571428,192.5434535319218,93.30624999999999,91.08041666666666,68.75958333333334,110.72125,127.06625000000001,78.55624999999999,115.98416666666667,102.09880952380954,27.1417453799525,60.66708333333333,58.373333333333335,50.665,83.20958333333333,112.22625,50.2475,73.02583333333334,80.24684523809523,36.59808505797421,4750.331666666666,3164.8483333333334,2272.5258333333336,4385.3925,6677.94625,3056.9245833333334,5889.097083333334,4710.277380952381,2261.0889495555793,35.44541666666667,46.68,76.62041666666667,71.09333333333333,27.1525,56.57541666666666,41.01,48.96809523809524,19.85978173900457
2020-12-09,7886.25125,132.63666666666668,31.59166666666667,124.15625,673.64125,811.5429166666667,766.2054166666667,509.4604166666666,447.5420833333333,358.0779166666666,537.8774999999999,642.61125,322.97833333333335,562.2022619047618,140.64650827325693,903.9929166666667,590.4470833333334,501.84999999999997,392.4216666666667,601.24375,757.0179166666667,368.53416666666664,651.2166071428571,180.86354492611935,145.20166666666668,93.30624999999999,91.08041666666666,68.75958333333334,110.72125,127.06625000000001,78.55624999999999,109.82458333333332,27.02018257054964,146.33916666666667,60.66708333333333,58.373333333333335,50.665,83.20958333333333,112.22625,50.2475,90.8052380952381,37.15785352881741,8663.9725,4750.331666666666,3164.8483333333334,2272.5258333333336,4385.3925,6677.94625,3056.9245833333334,5400.181190476191,2404.7384856266754,29.20958333333333,35.44541666666667,46.68,76.62041666666667,71.09333333333333,27.1525,56.57541666666666,45.398988095238096,20.499450538674598
2020-12-10,5297.184583333334,86.31083333333333,13.356666666666667,84.37208333333334,368.01666666666665,471.9058333333333,673.64125,766.2054166666667,509.4604166666666,447.5420833333333,358.0779166666666,537.8774999999999,642.61125,522.9744642857142,152.2932155557947,811.5429166666667,903.9929166666667,590.4470833333334,501.84999999999997,392.4216666666667,601.24375,757.0179166666667,610.4863095238095,185.11954146700188,132.63666666666668,145.20166666666668,93.30624999999999,91.08041666666666,68.75958333333334,110.72125,127.06625000000001,104.00238095238095,27.076671024271334,124.15625,146.33916666666667,60.66708333333333,58.373333333333335,50.665,83.20958333333333,112.22625,86.82607142857144,35.953501987180566,7886.25125,8663.9725,4750.331666666666,3164.8483333333334,2272.5258333333336,4385.3925,6677.94625,5202.929523809524,2338.167741318262,31.59166666666667,29.20958333333333,35.44541666666667,46.68,76.62041666666667,71.09333333333333,27.1525,43.428154761904764,23.05049377942974
2020-12-11,3812.949583333333,84.59625,9.288333333333334,88.89041666666667,277.78249999999997,336.34791666666666,368.01666666666665,673.64125,766.2054166666667,509.4604166666666,447.5420833333333,358.0779166666666,537.8774999999999,485.81803571428566,177.66641898674533,471.9058333333333,811.5429166666667,903.9929166666667,590.4470833333334,501.84999999999997,392.4216666666667,601.24375,572.6440476190476,212.3902241264822,86.31083333333333,132.63666666666668,145.20166666666668,93.30624999999999,91.08041666666666,68.75958333333334,110.72125,100.2702380952381,27.78737473403685,84.37208333333334,124.15625,146.33916666666667,60.66708333333333,58.373333333333335,50.665,83.20958333333333,87.63761904761905,35.922365593982335,5297.184583333334,7886.25125,8663.9725,4750.331666666666,3164.8483333333334,2272.5258333333336,4385.3925,5121.151964285715,2381.142400340056,13.356666666666667,31.59166666666667,29.20958333333333,35.44541666666667,46.68,76.62041666666667,71.09333333333333,34.59886904761905,22.518225503901878
